ISO3,income_group,region
SMR,High income,Europe & Central Asia
STP,Lower middle income,Sub-Saharan Africa
SAU,High income,Middle East & North Africa
SEN,Lower middle income,Sub-Saharan Africa
SRB,Upper middle income,Europe & Central Asia
SYC,High income,Sub-Saharan Africa
SLE,Low income,Sub-Saharan Africa
SGP,High income,East Asia & Pacific
SXM,High income,Latin America & Caribbean
SVK,High income,Europe & Central Asia
SVN,High income,Europe & Central Asia
SLB,Lower middle income,East Asia & Pacific
SOM,Low income,Sub-Saharan Africa
ZAF,Upper middle income,Sub-Saharan Africa
SSD,Low income,Sub-Saharan Africa
ESP,High income,Europe & Central Asia
LKA,Lower middle income,South Asia
KNA,High income,Latin America & Caribbean
LCA,Upper middle income,Latin America & Caribbean
MAF,High income,Latin America & Caribbean
VCT,Upper middle income,Latin America & Caribbean
SDN,Low income,Sub-Saharan Africa
SUR,Upper middle income,Latin America & Caribbean
SWE,High income,Europe & Central Asia
CHE,High income,Europe & Central Asia
SYR,Low income,Middle East & North Africa
TJK,Lower middle income,Europe & Central Asia
TZA,Lower middle income,Sub-Saharan Africa
THA,Upper middle income,East Asia & Pacific
TLS,Lower middle income,East Asia & Pacific
TGO,Low income,Sub-Saharan Africa
TON,Upper middle income,East Asia & Pacific
TTO,High income,Latin America & Caribbean
TUN,Lower middle income,Middle East & North Africa
TUR,Upper middle income,Europe & Central Asia
TKM,Upper middle income,Europe & Central Asia
TCA,High income,Latin America & Caribbean
TUV,Upper middle income,East Asia & Pacific
UGA,Low income,Sub-Saharan Africa
UKR,Upper middle income,Europe & Central Asia
ARE,High income,Middle East & North Africa
GBR,High income,Europe & Central Asia
USA,High income,North America
URY,High income,Latin America & Caribbean
UZB,Lower middle income,Europe & Central Asia
VUT,Lower middle income,East Asia & Pacific
VEN,,Latin America & Caribbean
VNM,Lower middle income,East Asia & Pacific
VIR,High income,Latin America & Caribbean
PSE,Lower middle income,Middle East & North Africa
YEM,Low income,Middle East & North Africa
ZMB,Lower middle income,Sub-Saharan Africa
ZWE,Lower middle income,Sub-Saharan Africa
AFE,,
AFW,,
ARB,,
CSS,,
CEB,,
EAR,,
EAS,,
EAP,,
TEA,,
EMU,,
ECS,,
ECA,,
TEC,,
EUU,,
FCS,,
HPC,,
HIC,,
IBD,,
IBT,,
IDB,,
IDX,,
IDA,,
LTE,,
LCN,,
LAC,,
TLA,,
LDC,,
LMY,,
LIC,,
LMC,,
MEA,,
MNA,,
TMN,,
MIC,,
NAC,,
OED,,
OSS,,
PSS,,
PST,,
PRE,,
SST,,
SAS,,
TSA,,
SSF,,
SSA,,
TSS,,
UMC,,
WLD,,
