cid,b_terr1,b_own1,nobs
3,-.1646657093918822,.1967763613050607,99
5,-2.673418948107329,.3963633539158632,103
6,.4646893025882966,.1820853008465133,103
7,.4400669331070194,.0090480160490096,103
8,-2.479983958606111,.0133311449085037,59
9,-1.034410196960292,.3407537383595402,83
14,-.055875098004982,.7714192687629612,103
15,-.8876569814361801,.1027433961721741,103
17,.0097739465221684,.2072121341506231,103
18,-.3736110816728001,.5267233017238185,75
19,.3861694720095579,.0387843078978763,95
20,-.4089161723200758,.0280864925508132,75
21,-.5616372722547411,.1842797656340825,103
22,-3.614544752253844,.3843250769544056,103
26,-2.868892195679364,.0778373378734257,103
28,-1.547699999294067,.0190549917309264,103
29,-8.61901722808579,.7298053271231263,59
34,.1395650953374626,.307815497648883,95
36,-1.212113260862572,.186554663349407,83
39,-.2295266471584365,.0400144277236325,103
40,-3.260651633965498,.1495062743490183,83
43,1.954966385619707,.2289121268881656,103
46,1.183867303514375,.1447503969268457,103
50,.5987968711403309,-.0565502611677123,103
51,-1.239118131421453,.1157847221418309,103
52,.8644331216713063,.7106775374480119,67
53,.2739687851825076,.1275959322517756,103
54,2.517541699145656,.4420134525005679,79
55,-.7191299103585121,.2190699938820384,103
57,.5706480078184455,.1619953884729356,103
58,-.0931392758723594,.3591562424339509,91
64,.3151546921263652,.1855266751590606,94
65,-.1502021602031451,.9248763390450536,103
69,.3755209467366356,.6203088334512114,63
70,-.6537449428832344,.1495291685334353,103
71,-.6449347435733477,.2595111344187446,60
72,-.6912873128153517,.0858486735854838,103
73,1.189115379493731,.5356185369236374,103
74,-1.136422061997074,.2773854807426198,103
78,.3651088016917715,.1618765162132166,103
79,-.2376462689109076,.2394125247450035,103
80,-.6088816829894546,.2484306799311138,103
82,.7379881912847099,.5725524808326828,103
83,1.419738034427545,.0915679648406395,95
84,3.818163165650433,.1590052834494557,99
86,.0171016610510103,.0046743086671586,103
87,-.4647678584312223,.6267395753346673,103
89,-8.532912352882674,.3204641938804235,103
91,.6311183042629959,.3657608889220468,94
92,.0576570915266439,.2475890540748884,71
96,-.1527667261383692,.1128401721500973,103
97,.2043238609429356,.8733174738738406,103
98,-.6428777545077607,.046483049383501,95
100,-.0736032172141866,.4671789918878421,103
102,1.269973361657434,-.1240171790510869,67
103,-.2724354952795487,.3300984311456517,103
104,-2.393110824522923,.5789533730812625,67
106,.2856394645865928,.0097302189731932,103
107,-.0142607887869521,.1880691148691516,95
110,.3367301231242221,.3556686155603102,102
112,-.7952139493312856,.2587270999145675,59
115,1.505929321079162,.1916056719173383,83
116,.8609981213502036,.1785635972058843,83
120,-.0721410095440285,.3658039155359071,103
122,1.368400207906006,.0432750711475006,103
123,-.0004495366452925,.2555219897423435,103
124,1.28089600880183,.1096803698672484,78
125,.3073839903504645,.4561306814968337,103
126,-.6428124662433876,.4574335201649095,87
127,.6797540876482059,.1326493240786553,103
128,-.0955270531106875,.1675358371607743,103
129,.7109258832258786,.0044916571409991,103
130,-2.843961181361983,.1401593558106289,79
132,1.75502573306432,.1572271245135531,103
133,.8083775929449242,.0724708389565281,79
137,-12.7892316664011,.3500908514129574,103
138,1.262301292836161,.1977458259076288,103
140,-.1358308613618469,.7734088185239293,55
142,-.1650977919233357,.5813973099391602,95
145,0,.1957893550825072,55
147,0,-.0012456370419198,83
151,0,.4203075904286984,59
152,-.002610033082812,.1954966266446549,103
153,.3636482847303167,.2757829963520403,103
154,-.234963430853957,.0670422870771309,103
159,.0279539969599025,.1593484162108255,103
160,-1.04321683922881,.0960662302648545,71
165,.129129538322564,.3676626317085827,103
168,-.3538179979443128,.6609015058026955,77
169,.2188536385599559,.2033369226384112,103
170,-2.306362205652889,.4859797895926998,79
171,-1.485291977050957,.1465375150934281,103
172,-1.300181861660894,.2860582784562096,59
175,.1189244435142226,.4165725704921747,103
179,-3.3531403344251,.1003023620256826,103
180,19.21480245566724,.2012545037281281,59
