terrvar,lags,nobs,zeroshare,jstat,jdf,jp,maxmod
x_raw,5,9340,61.27593562148535,18.23218879750257,8,.0195515279815459,.8523637276968276
x_ma4,5,9169,42.62602347834665,61.92394236303345,8,1.95180404748e-10,.9953071436415123
x_bin,5,9340,61.27593562148535,24.46021235062983,8,.0019178744659259,.8578292345509079
x_pm,5,9340,61.27593562148535,11.51246641432179,8,.1743175353101569,.8797254151510444
