terrvar,lags,ilags,tdopt,nobs,jstat,jdf,jp,maxmod
x_raw,1,3,notd,9826,365.190382970277,8,5.16877187105e-74,.4427962469424546
x_raw,2,4,notd,9703,293.7262166412303,8,8.90534115801e-59,.710905594959141
x_raw,3,5,notd,9582,183.8161436517903,8,1.62552124063e-35,.8378787333974298
x_raw,4,6,notd,9461,42.89326933624753,8,9.20029794534e-07,.9194781792005342
x_raw,5,7,notd,9340,30.61136644922306,8,.0001647263115417,.9397733523080385
x_raw,6,8,notd,9219,55.62029739743418,8,3.34421492852e-09,.9552847898879093
x_raw,7,9,notd,9098,59.19712567781804,8,6.69697818655e-10,.9583114154236858
x_raw,8,10,notd,8977,26.61814572887294,8,.0008226887456053,.979517267099044
x_raw,1,3,td,9826,298.0649044419835,8,1.06289626953e-59,.2710076958294425
x_raw,2,4,td,9703,252.0312989036406,8,6.39146528025e-50,.585772060638
x_raw,3,5,td,9582,167.4053086756367,8,4.50943259054e-32,.7308718643852113
x_raw,4,6,td,9461,36.15622719926397,8,.0000164406520124,.8447779786410832
x_raw,5,7,td,9340,18.23218879750258,8,.0195515279815458,.8523637276968282
x_raw,6,8,td,9219,46.36497326049007,8,2.02585774633e-07,.8825887163962467
x_raw,7,9,td,9098,48.74160601735784,8,7.12555149049e-08,.8862478049523412
x_raw,8,10,td,8977,14.00517680400817,8,.081630584531139,.9152047411369005
x_pm,1,3,notd,9826,323.5114007621625,8,4.04481503273e-65,.5468118061904612
x_pm,2,4,notd,9703,274.704702723731,8,9.85163922850e-55,.7215737952049671
x_pm,3,5,notd,9582,172.4186616164919,8,4.01304044779e-33,.832094395974299
x_pm,4,6,notd,9461,40.36547089251085,8,2.73860235601e-06,.9247150601769947
x_pm,5,7,notd,9340,34.6595210005224,8,.0000308389924747,.9407191961985618
x_pm,6,8,notd,9219,52.79564776847649,8,1.18125051669e-08,.9616420479841346
x_pm,7,9,notd,9098,52.26757225747019,8,1.49427379289e-08,.9695143992589802
x_pm,8,10,notd,8977,14.63511073441151,8,.0666410976778835,.9978488145418247
x_pm,1,3,td,9826,258.5265983135247,8,2.67950518351e-51,.4927183547315386
x_pm,2,4,td,9703,219.0095374830856,8,6.23422293437e-43,.701693003493796
x_pm,3,5,td,9582,140.8719583380949,8,1.56278881167e-26,.8034136941831875
x_pm,4,6,td,9461,22.25925499250869,8,.0044575726853625,.8513055235324175
x_pm,5,7,td,9340,11.5124664143218,8,.1743175353101564,.8797254151510441
x_pm,6,8,td,9219,37.02910716257419,8,.0000113678930492,.9070903852593105
x_pm,7,9,td,9098,40.1742310908401,8,2.97295975704e-06,.9035359802293575
x_pm,8,10,td,8977,10.24786911008011,8,.2480580083127676,.9240254778867396
