terrvar,lags,ilags,tdopt,subsample,nobs,jstat,jdf,jp,maxmod,r4,r8,r20
x_pm,5,7,td,all,9340,11.51246641432179,8,.1743175353101569,.8797254151510442,-.0798468567429636,-.2134856350886565,-.4866583520868725
x_pm,8,10,td,all,8977,10.2478691100801,8,.2480580083127684,.9240254778867378,-.0655597440517968,-.1592277999530791,-.4321936819079346
x_raw,5,7,td,all,9340,18.23218879750257,8,.0195515279815459,.8523637276968269,-.1198181656665832,-.3228223457059056,-.6918441768714895
x_raw,8,10,td,all,8977,14.00517680400817,8,.081630584531139,.9152047411369022,-.1417125010924609,-.3741077865374456,-1.094934192539373
x_pm,5,7,td,longT,7670,11.87666344316015,8,.1567922759179493,.854722878535856,-.0524435881717935,-.1622264802186827,-.3709997082753181
x_pm,5,7,td,nonzero,9032,12.85268806427098,8,.1170196650126608,.8785734191207316,-.0801932308981472,-.2130238018747176,-.4801921799737158
x_pm,5,7,td,exc_highinc,7426,5.362159734204517,8,.718258969460615,.8935000661342285,-.0794907757615151,-.1874503323119429,-.4251917032433991
